mgi_symbol,ensembl_gene_id,entrezgene_id,gene_biotype,chromosome_name,start_position,end_position
Dock8,ENSMUSG00000052085,76088,protein_coding,19,24976898,25179796
Sntb1,ENSMUSG00000060429,20649,protein_coding,15,55499784,55770345
Dmrt2,ENSMUSG00000048138,226049,protein_coding,19,25649775,25656355
Adrb1,ENSMUSG00000035283,11554,protein_coding,19,56710631,56721545
Nfe2,ENSMUSG00000058794,18022,protein_coding,15,103156639,103166830
Gm15107,ENSMUSG00000072930,434864,protein_coding,X,146963720,147007706
Gpr84,ENSMUSG00000063234,80910,protein_coding,15,103216662,103219039
Adtrp,ENSMUSG00000058022,109254,protein_coding,13,41916624,42001160
1700001K19Rik,ENSMUSG00000056508,66323,protein_coding,12,110634122,110649053
H4c18,ENSMUSG00000069305,319161,protein_coding,13,22015937,22016366
Xlr5a,ENSMUSG00000058328,574438,protein_coding,X,72151241,72336582
Ednra,ENSMUSG00000031616,13617,protein_coding,8,78389660,78451093
H2bc12,ENSMUSG00000062727,319184,protein_coding,13,22220040,22220515
Vmn1r193,ENSMUSG00000046932,171259,protein_coding,13,22397842,22407330
Sidt1,ENSMUSG00000022696,320007,protein_coding,16,44060543,44153559
Nckap1l,ENSMUSG00000022488,105855,protein_coding,15,103362221,103407237
Fhod3,ENSMUSG00000034295,225288,protein_coding,18,24841680,25266558
Pex5l,ENSMUSG00000027674,58869,protein_coding,3,33003557,33197396
Fer1l6,ENSMUSG00000037106,631797,protein_coding,15,58381897,58536941
Cfap44,ENSMUSG00000071550,212517,protein_coding,16,44215159,44302791
Nutf2,ENSMUSG00000008450,68051,protein_coding,8,106587212,106605962
Gm10037,ENSMUSG00000058246,102637366,protein_coding,13,67979225,67992154
Vmn1r218,ENSMUSG00000115020,171256,protein_coding,13,23317325,23330282
Xlr5c,ENSMUSG00000067764,27084,protein_coding,X,72326502,72336582
Mtnr1a,ENSMUSG00000054764,17773,protein_coding,8,45522174,45541543
Gm18336,ENSMUSG00000096966,,protein_coding,X,72440045,72442342
Tcp11l2,ENSMUSG00000020034,216198,protein_coding,10,84412490,84450223
Sis,ENSMUSG00000027790,69983,protein_coding,3,72795890,72875196
Lyz1,ENSMUSG00000069515,17110,protein_coding,10,117123702,117128773
Lama2,ENSMUSG00000019899,16773,protein_coding,10,26856032,27495754
Spag6l,ENSMUSG00000022783,50525,protein_coding,16,16570880,16647320
Tecpr2,ENSMUSG00000021275,104859,protein_coding,12,110855698,110938828
Rit2,ENSMUSG00000057455,19762,protein_coding,18,31106542,31450343
Cd83,ENSMUSG00000015396,12522,protein_coding,13,43938251,43956608
Fyb,ENSMUSG00000022148,23880,protein_coding,15,6552334,6692794
Cpm,ENSMUSG00000020183,70574,protein_coding,10,117465405,117523257
Rhox1,ENSMUSG00000071773,385343,protein_coding,X,36477457,36485911
Cd200r2,ENSMUSG00000090176,271375,protein_coding,16,44687460,44736203
H1f2,ENSMUSG00000036181,50708,protein_coding,13,23922791,23924350
H2bc3,ENSMUSG00000075031,319178,protein_coding,13,23930717,23931224
Aldoart2,ENSMUSG00000063129,79459,protein_coding,12,55612024,55613681
Htr4,ENSMUSG00000026322,15562,protein_coding,18,62457275,62629648
Zfp366,ENSMUSG00000050919,238803,protein_coding,13,99321331,99387164
Cartpt,ENSMUSG00000021647,27220,protein_coding,13,100034997,100037599
Gypa,ENSMUSG00000051839,14934,protein_coding,8,81220410,81237171
Batf,ENSMUSG00000034266,53314,protein_coding,12,85733443,85755861
Proc,ENSMUSG00000024386,19123,protein_coding,18,32256179,32272623
Amer2,ENSMUSG00000021986,72125,protein_coding,14,60610708,60625646
Hkdc1,ENSMUSG00000020080,216019,protein_coding,10,62218916,62258270
Cd200,ENSMUSG00000022661,17470,protein_coding,16,45202498,45229416
Cd200l1,ENSMUSG00000053182,208166,protein_coding,16,45232131,45313332
Fstl5,ENSMUSG00000034098,213262,protein_coding,3,75981577,76617326
BC016579,ENSMUSG00000033187,212998,protein_coding,16,45447211,45474431
Vmn2r113,ENSMUSG00000092111,434701,protein_coding,17,23161958,23184632
Slc17a4,ENSMUSG00000021336,319848,protein_coding,13,24079873,24098992
H2ac1,ENSMUSG00000060081,319163,protein_coding,13,24118445,24118834
Ednrb,ENSMUSG00000022122,13618,protein_coding,14,104052061,104081838
1700122O11Rik,ENSMUSG00000094928,76651,protein_coding,17,48347554,48349102
Dpyd,ENSMUSG00000033308,99586,protein_coding,3,118355778,119226573
Camk4,ENSMUSG00000038128,12326,protein_coding,18,33067984,33324281
Srgn,ENSMUSG00000020077,19073,protein_coding,10,62329612,62363230
Asb14,ENSMUSG00000021898,142687,protein_coding,14,26616514,26637215
Cd96,ENSMUSG00000022657,84544,protein_coding,16,45856020,45940614
Gm17359,ENSMUSG00000091685,100233207,protein_coding,3,79243968,79371436
Scgn,ENSMUSG00000021337,214189,protein_coding,13,24137439,24175197
Treml4,ENSMUSG00000051682,224840,protein_coding,17,48571323,48582388
Sntg1,ENSMUSG00000025909,71096,protein_coding,1,8431699,9370103
Hmgn5,ENSMUSG00000031245,50887,protein_coding,X,108048140,108057010
Gm5485,ENSMUSG00000110573,,protein_coding,16,48219816,48232779
Gm29106,ENSMUSG00000102030,,protein_coding,1,118104272,118130037
Gsdmc4,ENSMUSG00000055748,74548,protein_coding,15,63763113,63784146
Treml2,ENSMUSG00000071068,328833,protein_coding,17,48606526,48619561
B430306N03Rik,ENSMUSG00000043740,320148,protein_coding,17,48623169,48634052
Trat1,ENSMUSG00000030775,77647,protein_coding,16,48551137,48592384
Egflam,ENSMUSG00000042961,268780,protein_coding,15,7235601,7427876
Trem2,ENSMUSG00000023992,83433,protein_coding,17,48653429,48661175
Stmnd1,ENSMUSG00000063529,380842,protein_coding,13,46427197,46453591
Sgcg,ENSMUSG00000035296,24053,protein_coding,14,61456564,61495939
Wnk3,ENSMUSG00000041245,279561,protein_coding,X,149981074,150103148
Bpifc,ENSMUSG00000050108,270757,protein_coding,10,85795204,85847759
Slco1b2,ENSMUSG00000030236,28253,protein_coding,6,141575244,141632372
Hcrtr2,ENSMUSG00000032360,387285,protein_coding,9,76133162,76231138
Slc6a8,ENSMUSG00000019558,102857,protein_coding,X,72716756,72726108
Mgat4d,ENSMUSG00000035057,67555,protein_coding,8,84075100,84108949
Pax9,ENSMUSG00000001497,18511,protein_coding,12,56738552,56759607
Tmed6,ENSMUSG00000031919,66269,protein_coding,8,107788108,107792276
Naip6,ENSMUSG00000078942,17952,protein_coding,13,100417629,100454182
Pkd2l2,ENSMUSG00000014503,53871,protein_coding,18,34541542,34577169
Lpcat1,ENSMUSG00000021608,210992,protein_coding,13,73615316,73664541
Apobec2,ENSMUSG00000040694,11811,protein_coding,17,48726259,48739958
Dleu7,ENSMUSG00000048281,239133,protein_coding,14,62513680,62530496
Slc6a3,ENSMUSG00000021609,13162,protein_coding,13,73684866,73726791
Plxnb3,ENSMUSG00000031385,140571,protein_coding,X,72800696,72816120
Scube1,ENSMUSG00000016763,64706,protein_coding,15,83489200,83609222
Brd8dc,ENSMUSG00000049357,271508,protein_coding,18,34712899,34730521
Mlip,ENSMUSG00000032355,69642,protein_coding,9,77009363,77260251
Unc5cl,ENSMUSG00000043592,76589,protein_coding,17,48761929,48846742
Sva,ENSMUSG00000023289,20939,protein_coding,6,42015328,42019785
Naip1,ENSMUSG00000021640,17940,protein_coding,13,100544272,100589377
Lrfn2,ENSMUSG00000040490,70530,protein_coding,17,49239407,49404616
Ifng,ENSMUSG00000055170,15978,protein_coding,10,118276951,118281797
Tlcd4,ENSMUSG00000028132,99887,protein_coding,3,120995410,121076747
Efcab6,ENSMUSG00000022441,77627,protein_coding,15,83750913,83949580
Plpp3,ENSMUSG00000028517,67916,protein_coding,4,105014544,105089961
Prss32,ENSMUSG00000048992,69814,protein_coding,17,24062829,24078753
Slc25a21,ENSMUSG00000035472,217593,protein_coding,12,56759419,57244257
Cmah,ENSMUSG00000016756,12763,protein_coding,13,24511387,24661360
Kif6,ENSMUSG00000023999,319991,protein_coding,17,49922164,50216875
Parvb,ENSMUSG00000022438,170736,protein_coding,15,84116244,84199889
Klhl31,ENSMUSG00000044938,244923,protein_coding,9,77543782,77567409
Catspere1,ENSMUSG00000102483,631584,protein_coding,1,177635997,177790244
Defb30,ENSMUSG00000075571,73670,protein_coding,14,63271536,63287409
Defb42,ENSMUSG00000054763,619548,protein_coding,14,63284440,63295598
Epha4,ENSMUSG00000026235,13838,protein_coding,1,77343822,77491725
2010106E10Rik,ENSMUSG00000025528,67715,protein_coding,X,111404971,111468040
Stab2,ENSMUSG00000035459,192188,protein_coding,10,86677062,86843889
Colgalt2,ENSMUSG00000032649,269132,protein_coding,1,152275581,152386446
Spef2,ENSMUSG00000072663,320277,protein_coding,15,9578279,9748954
Prss27,ENSMUSG00000050762,213171,protein_coding,17,24257118,24264928
Lrtm1,ENSMUSG00000045776,319476,protein_coding,14,28740165,28755602
Clcn1,ENSMUSG00000029862,12723,protein_coding,6,42263619,42292690
Catspere2,ENSMUSG00000091476,545391,protein_coding,1,177810989,178000271
Smc1b,ENSMUSG00000022432,140557,protein_coding,15,84948890,85016165
Slc1a1,ENSMUSG00000024935,20510,protein_coding,19,28812449,28891360
Fam167b,ENSMUSG00000050493,230766,protein_coding,4,129470608,129472342
Sgpp2,ENSMUSG00000032908,433323,protein_coding,1,78286982,78396926
Spata6l,ENSMUSG00000064202,381218,protein_coding,19,28870442,28945200
Plet1,ENSMUSG00000032068,76509,protein_coding,9,50405825,50416782
Foxa1,ENSMUSG00000035451,15375,protein_coding,12,57587414,57593702
Il17rb,ENSMUSG00000015966,50905,protein_coding,14,29718092,29730853
Bco2,ENSMUSG00000032066,170752,protein_coding,9,50444387,50466481
Tex12,ENSMUSG00000032065,66654,protein_coding,9,50468119,50472625
1700001P01Rik,ENSMUSG00000018543,72215,protein_coding,11,97662307,97666744
Kdm3b,ENSMUSG00000038773,277250,protein_coding,18,34910100,34971713
Mogat1,ENSMUSG00000012187,68393,protein_coding,1,78487628,78514810
Chdh,ENSMUSG00000015970,218865,protein_coding,14,29730980,29762484
Serpinf2,ENSMUSG00000038224,18816,protein_coding,11,75322558,75330417
Prss52,ENSMUSG00000021966,73382,protein_coding,14,64341735,64351204
Qrfpr,ENSMUSG00000058400,229214,protein_coding,3,36233573,36276462
C3ar1,ENSMUSG00000040552,12267,protein_coding,6,122824097,122833120
Gsta1,ENSMUSG00000074183,14857,protein_coding,9,78137938,78149966
Pbld2,ENSMUSG00000020072,67307,protein_coding,10,62860094,62894592
Gm3776,ENSMUSG00000111709,100042295,protein_coding,9,78164411,78176448
Cldn14,ENSMUSG00000047109,56173,protein_coding,16,93715919,93809696
Smim43,ENSMUSG00000085007,100503068,protein_coding,3,36569206,36586533
Kcnh8,ENSMUSG00000035580,211468,protein_coding,17,52909737,53286222
Abca4,ENSMUSG00000028125,11304,protein_coding,3,121838092,121973772
Efcab2,ENSMUSG00000026495,68226,protein_coding,1,178233650,178312078
Gsta5,ENSMUSG00000074179,100042314,protein_coding,9,78197205,78212807
Fbxo47,ENSMUSG00000070336,72973,protein_coding,11,97744652,97774980
Nkx6-1,ENSMUSG00000035187,18096,protein_coding,5,101806005,101812862
Nkain2,ENSMUSG00000069670,432450,protein_coding,10,31565306,32766458
Pnliprp2,ENSMUSG00000025091,18947,protein_coding,19,58748151,58765966
Nrg2,ENSMUSG00000060275,100042150,protein_coding,18,36150705,36330433
1700019N19Rik,ENSMUSG00000026931,67507,protein_coding,19,58774235,58782893
Vash1,ENSMUSG00000021256,238328,protein_coding,12,86725474,86738865
Clec4a1,ENSMUSG00000049037,269799,protein_coding,6,122898807,122911578
Gsta2,ENSMUSG00000057933,14858,protein_coding,9,78238300,78263070
Kcnk7,ENSMUSG00000024936,16530,protein_coding,19,5754395,5757137
Klhl4,ENSMUSG00000025597,237010,protein_coding,X,113384030,113470526
Pbld1,ENSMUSG00000112129,68371,protein_coding,10,62895941,62913741
Slc6a19,ENSMUSG00000021565,74338,protein_coding,13,73827864,73852984
Ube2dnl1,ENSMUSG00000050435,237009,protein_coding,X,113814709,113815638
Ube2dnl2,ENSMUSG00000047079,75097,protein_coding,X,113817279,113818207
Trdn,ENSMUSG00000019787,76757,protein_coding,10,32956550,33352705
Pcdh11x,ENSMUSG00000034755,245578,protein_coding,X,119199956,119820316
Zdhhc22,ENSMUSG00000048483,238331,protein_coding,12,87027537,87037204
Foxi3,ENSMUSG00000055874,232077,protein_coding,6,70933515,70938050
Vmn2r57,ENSMUSG00000066537,269902,protein_coding,7,41045369,41098120
Shank2,ENSMUSG00000037541,210274,protein_coding,7,143555665,143978231
Spocd1,ENSMUSG00000028784,622480,protein_coding,4,129823042,129850908
Thnsl2,ENSMUSG00000054474,232078,protein_coding,6,71105150,71121423
Sult1c1,ENSMUSG00000023943,20888,protein_coding,17,54268643,54297702
Slc5a7,ENSMUSG00000023945,63993,protein_coding,17,54580618,54606062
Rsph4a,ENSMUSG00000039552,212892,protein_coding,10,33781107,33792017
Adgre4,ENSMUSG00000032915,52614,protein_coding,17,56056984,56160662
BC048679,ENSMUSG00000061877,210321,protein_coding,7,81144023,81148029
Tex13d,ENSMUSG00000105993,100039899,protein_coding,X,41578568,41580401
E230025N22Rik,ENSMUSG00000044719,240216,protein_coding,18,36817976,36828978
Cnst,ENSMUSG00000038949,226744,protein_coding,1,179373935,179455043
Fgg,ENSMUSG00000033860,99571,protein_coding,3,82915031,82922356
1700093K21Rik,ENSMUSG00000020286,67358,protein_coding,11,23466203,23471155
Cd8b1,ENSMUSG00000053044,12526,protein_coding,6,71299772,71314478
Vmn2r59,ENSMUSG00000092032,628444,protein_coding,7,41660708,41708447
Ngb,ENSMUSG00000021032,64242,protein_coding,12,87144305,87149313
Dcdc2a,ENSMUSG00000035910,195208,protein_coding,13,25239987,25394689
Ptger1,ENSMUSG00000019464,19216,protein_coding,8,84393307,84399382
Yipf7,ENSMUSG00000029158,75581,protein_coding,5,69674014,69699991
Adam2,ENSMUSG00000022039,11495,protein_coding,14,66264778,66315182
Cd8a,ENSMUSG00000053977,12525,protein_coding,6,71350411,71356157
Lrp2bp,ENSMUSG00000031637,67620,protein_coding,8,46452340,46482514
Gm38393,ENSMUSG00000000948,,protein_coding,7,59623897,59654812
Tlr2,ENSMUSG00000027995,24088,protein_coding,3,83743579,83749074
Noxred1,ENSMUSG00000072919,71275,protein_coding,12,87267814,87285506
Msh4,ENSMUSG00000005493,55993,protein_coding,3,153562786,153611775
Ceacam2,ENSMUSG00000054385,26367,protein_coding,7,25215467,25239282
Pmfbp1,ENSMUSG00000031727,56523,protein_coding,8,110220659,110269272
Nobox,ENSMUSG00000029736,18291,protein_coding,6,43280608,43286488
Col10a1,ENSMUSG00000039462,12813,protein_coding,10,34265977,34273081
Erich4,ENSMUSG00000074261,632778,protein_coding,7,25314045,25315317
Oc90,ENSMUSG00000015001,18256,protein_coding,15,65747902,65784246
Spic,ENSMUSG00000004359,20728,protein_coding,10,88510634,88520877
Vmn2r27,ENSMUSG00000072778,232367,protein_coding,6,124166715,124208815
Fam124b,ENSMUSG00000043230,241128,protein_coding,1,80176423,80196190
Hs3st5,ENSMUSG00000044499,319415,protein_coding,10,36382810,36710393
Trpd52l3,ENSMUSG00000024815,66745,protein_coding,19,29981190,29983418
Prl3d3,ENSMUSG00000062201,215029,protein_coding,13,27340773,27346576
Cacna1d,ENSMUSG00000015968,12289,protein_coding,14,29761896,30213412
Abcc9,ENSMUSG00000030249,20928,protein_coding,6,142533588,142648041
Tmem71,ENSMUSG00000036944,213068,protein_coding,15,66398061,66432952
H2-DMb2,ENSMUSG00000037548,15000,protein_coding,17,34362281,34370529
Rfpl4b,ENSMUSG00000094311,215919,protein_coding,10,38696537,38697775
Adgre5,ENSMUSG00000002885,26364,protein_coding,8,84449880,84467955
H2-DMb1,ENSMUSG00000079547,14999,protein_coding,17,34372046,34379204
Cd19,ENSMUSG00000030724,12478,protein_coding,7,126007622,126014061
Dnah7b,ENSMUSG00000041144,227058,protein_coding,1,46105475,46412710
Dhx9,ENSMUSG00000042699,13211,protein_coding,1,153331504,153363406
A1cf,ENSMUSG00000052595,69865,protein_coding,19,31846164,31926395
B830017H08Rik,ENSMUSG00000116652,,protein_coding,16,17650985,17652872
Usp17la,ENSMUSG00000054568,13531,protein_coding,7,104506216,104511874
Npl,ENSMUSG00000042684,74091,protein_coding,1,153378761,153425791
Dnah7c,ENSMUSG00000101337,100101919,protein_coding,1,46464752,46846636
Arrdc5,ENSMUSG00000073380,76920,protein_coding,17,56601111,56607286
Lim2,ENSMUSG00000118560,233187,protein_coding,7,43079512,43085420
Gabrg1,ENSMUSG00000001260,14405,protein_coding,5,70908390,70999960
Impg2,ENSMUSG00000035270,224224,protein_coding,16,56024676,56094119
Grk1,ENSMUSG00000031450,24013,protein_coding,8,13455081,13471951
Nkg7,ENSMUSG00000004612,72310,protein_coding,7,43086497,43087673
Kdm3a,ENSMUSG00000053470,104263,protein_coding,6,71565956,71609974
Obscn,ENSMUSG00000061462,380698,protein_coding,11,58885082,59029996
Tg,ENSMUSG00000053469,21819,protein_coding,15,66542602,66722570
Alpk2,ENSMUSG00000032845,225638,protein_coding,18,65398600,65527137
Slc44a5,ENSMUSG00000028360,242259,protein_coding,3,153679073,153977359
Lrfn5,ENSMUSG00000035653,238205,protein_coding,12,61569936,61905128
Rgs8,ENSMUSG00000042671,67792,protein_coding,1,153528771,153576069
Reep1,ENSMUSG00000052852,52250,protein_coding,6,71684545,71787694
Sult6b2,ENSMUSG00000048473,330440,protein_coding,6,142730930,142750228
Vsig10l,ENSMUSG00000070604,75690,protein_coding,7,43112575,43121443
Mapk10,ENSMUSG00000046709,26414,protein_coding,5,103055814,103359200
St8sia1,ENSMUSG00000030283,20449,protein_coding,6,142767271,142910178
Ifit3,ENSMUSG00000074896,15959,protein_coding,19,34560931,34566131
Ifit1bl2,ENSMUSG00000067297,112419,protein_coding,19,34594449,34618143
Ifit1,ENSMUSG00000034459,15957,protein_coding,19,34618271,34627409
Gpha2,ENSMUSG00000024784,170458,protein_coding,19,6276410,6277798
Layn,ENSMUSG00000060594,244864,protein_coding,9,50965940,50988394
Dock10,ENSMUSG00000038608,210293,protein_coding,1,80478790,80736244
Ecm2,ENSMUSG00000043631,407800,protein_coding,13,49658286,49686265
Gm32742,ENSMUSG00000110266,102635385,protein_coding,9,51041607,51076817
Prl2a1,ENSMUSG00000022886,56635,protein_coding,13,27985637,27992712
Ogn,ENSMUSG00000021390,18295,protein_coding,13,49761522,49777977
Bcl11a,ENSMUSG00000000861,14025,protein_coding,11,24028056,24124123
Nrxn3,ENSMUSG00000066392,18191,protein_coding,12,88689646,90301709
Pou2af3,ENSMUSG00000079559,100502940,protein_coding,9,51181558,51190951
Mup20,ENSMUSG00000078672,381530,protein_coding,4,61968471,61972395
Cdc42bpg,ENSMUSG00000024769,240505,protein_coding,19,6356486,6375682
H2-Eb1,ENSMUSG00000060586,14969,protein_coding,17,34524841,34535648
Mfsd4b5,ENSMUSG00000038528,215928,protein_coding,10,39834032,39862642
Or5d43,ENSMUSG00000075132,404329,protein_coding,2,88103384,88110219
Pttg1ip2,ENSMUSG00000079666,381716,protein_coding,5,5487827,5529143
Mfsd4b1,ENSMUSG00000038522,215929,protein_coding,10,39877571,39901264
Arhgap20,ENSMUSG00000053199,244867,protein_coding,9,51676637,51765156
Ptpn13,ENSMUSG00000034573,19249,protein_coding,5,103573058,103746169
Slc10a6,ENSMUSG00000029321,75750,protein_coding,5,103753577,103777269
Bhlha15,ENSMUSG00000052271,17341,protein_coding,5,144127104,144131259
Angpt4,ENSMUSG00000027460,11602,protein_coding,2,151753130,151787257
Sash3,ENSMUSG00000031101,74131,protein_coding,X,47235313,47250442
AI593442,ENSMUSG00000078307,330941,protein_coding,9,52584342,52591080
Htr7,ENSMUSG00000024798,15566,protein_coding,19,35936134,36034907
D930020B18Rik,ENSMUSG00000047642,216393,protein_coding,10,121477493,121529820
Tsbp1,ENSMUSG00000057246,407788,protein_coding,17,34617794,34679708
Arsj,ENSMUSG00000046561,271970,protein_coding,3,126157333,126234024
Ndrg1,ENSMUSG00000005125,17988,protein_coding,15,66801167,66841489
Nlrp9c,ENSMUSG00000040614,330490,protein_coding,7,26021898,26103125
Siglece,ENSMUSG00000030474,83382,protein_coding,7,43300494,43309585
Sult2a4,ENSMUSG00000074377,434121,protein_coding,7,13643601,13723532
Cdk19,ENSMUSG00000038481,78334,protein_coding,10,40215560,40359814
Pcdhb6,ENSMUSG00000051678,93877,protein_coding,18,37466974,37470727
Cdh9,ENSMUSG00000025370,12565,protein_coding,15,16728842,16857180
Tcap,ENSMUSG00000007877,21393,protein_coding,11,98274637,98275779
Klk14,ENSMUSG00000044737,317653,protein_coding,7,43339842,43344960
Sult2a3,ENSMUSG00000074375,629203,protein_coding,7,13801371,13856969
Tmem154,ENSMUSG00000056498,320782,protein_coding,3,84573499,84611882
Dlgap2,ENSMUSG00000047495,244310,protein_coding,8,14145865,14897680
Klk13,ENSMUSG00000054046,626834,protein_coding,7,43361991,43376958
Irf4,ENSMUSG00000021356,16364,protein_coding,13,30933209,30950959
Pcdhb14,ENSMUSG00000044043,93885,protein_coding,18,37580709,37589403
Il16,ENSMUSG00000001741,16170,protein_coding,7,83292033,83394934
Grp,ENSMUSG00000024517,225642,protein_coding,18,66005891,66019667
Rax,ENSMUSG00000024518,19434,protein_coding,18,66061348,66072858
Corin,ENSMUSG00000005220,53419,protein_coding,5,72457368,72661816
Ddo,ENSMUSG00000063428,70503,protein_coding,10,40506007,40557843
Slc25a2,ENSMUSG00000050304,83885,protein_coding,18,37770431,37771776
S1pr3,ENSMUSG00000067586,13610,protein_coding,13,51562675,51576833
Pcdhga2,ENSMUSG00000103332,93710,protein_coding,18,37802006,37974923
Adra1a,ENSMUSG00000045875,11549,protein_coding,14,66872700,67008617
Mettl24,ENSMUSG00000045555,327747,protein_coding,10,40559278,40687079
Cacna1e,ENSMUSG00000004110,12290,protein_coding,1,154266477,154760247
Cfap161,ENSMUSG00000011154,75556,protein_coding,7,83423309,83444088
Pcdhga4,ENSMUSG00000103677,93712,protein_coding,18,37818263,37974926
Pcdhgb2,ENSMUSG00000102748,93700,protein_coding,18,37822881,37974926
Meig1,ENSMUSG00000026650,104362,protein_coding,2,3410080,3423685
Zbtb24,ENSMUSG00000019826,268294,protein_coding,10,41326379,41341570
Timm8a2,ENSMUSG00000071229,223262,protein_coding,14,122272086,122275832
Cpt1a,ENSMUSG00000024900,12894,protein_coding,19,3372334,3435733
Cdh12,ENSMUSG00000040452,215654,protein_coding,15,20449351,21589619
Pcdhga8,ENSMUSG00000103897,93716,protein_coding,18,37858759,37974926
Klk9,ENSMUSG00000047884,101533,protein_coding,7,43441315,43446181
Vmn1r185,ENSMUSG00000091924,171265,protein_coding,7,26307061,26317889
Pcdhgb5,ENSMUSG00000103749,93702,protein_coding,18,37864062,37974926
Magea6,ENSMUSG00000063728,17142,protein_coding,X,153707008,153718983
Magea5,ENSMUSG00000079349,17141,protein_coding,X,153836057,153846141
Cyp2b23,ENSMUSG00000040650,243881,protein_coding,7,26364652,26385862
Zic2,ENSMUSG00000061524,22772,protein_coding,14,122712847,122717264
Slc10a4-ps,ENSMUSG00000060204,545758,protein_coding,5,72738981,72744894
Fam135b,ENSMUSG00000036800,70363,protein_coding,15,71303458,71599687
Nipal1,ENSMUSG00000067219,70701,protein_coding,5,72805138,72828421
Shc3,ENSMUSG00000021448,20418,protein_coding,13,51585077,51723523
Zfp786,ENSMUSG00000051499,330301,protein_coding,6,47796200,47807801
Adad1,ENSMUSG00000027719,21744,protein_coding,3,37117676,37176079
Pcdhgc3,ENSMUSG00000102918,93706,protein_coding,18,37939417,37974926
Gnal,ENSMUSG00000024524,14680,protein_coding,18,67221287,67359863
Hus1b,ENSMUSG00000076430,210554,protein_coding,13,31130556,31131742
Ptchd1,ENSMUSG00000041552,211612,protein_coding,X,154356451,154406810
Doc2b,ENSMUSG00000020848,13447,protein_coding,11,75659792,75686875
Phex,ENSMUSG00000057457,18675,protein_coding,X,155945071,156198308
Xpr1,ENSMUSG00000026469,19775,protein_coding,1,155151447,155293161
Ikzf3,ENSMUSG00000018168,22780,protein_coding,11,98355728,98436857
Klhdc1,ENSMUSG00000051890,271005,protein_coding,12,69287950,69331406
Pcdhgc4,ENSMUSG00000023036,93707,protein_coding,18,37948132,37974926
Cyp19a1,ENSMUSG00000032274,13075,protein_coding,9,54073221,54175394
Nlrp3,ENSMUSG00000032691,216799,protein_coding,11,59432394,59457782
Lrriq3,ENSMUSG00000028182,74435,protein_coding,3,154799071,154899917
Myom2,ENSMUSG00000031461,17930,protein_coding,8,15107653,15183541
Mymk,ENSMUSG00000009214,66139,protein_coding,2,26951648,26962191
Zpbp2,ENSMUSG00000017195,69376,protein_coding,11,98441923,98449491
6820408C15Rik,ENSMUSG00000032680,228778,protein_coding,2,152257507,152286250
Vmn1r43,ENSMUSG00000068231,113847,protein_coding,6,89835916,89853395
Pcdhgc5,ENSMUSG00000102543,93708,protein_coding,18,37952566,37974926
Vmn1r44,ENSMUSG00000068234,113854,protein_coding,6,89860642,89871870
Ezhip,ENSMUSG00000073294,102991,protein_coding,X,5993273,5995473
Taf7l,ENSMUSG00000009596,74469,protein_coding,X,133360867,133377239
Mrgprd,ENSMUSG00000051207,211578,protein_coding,7,144868572,144877823
Klk5,ENSMUSG00000074155,68668,protein_coding,7,43491395,43500605
Sparcl1,ENSMUSG00000029309,13602,protein_coding,5,104226977,104261599
Prrt1,ENSMUSG00000015476,260297,protein_coding,17,34848507,34852100
C2cd5,ENSMUSG00000030279,74741,protein_coding,6,142956646,143045867
Vegfc,ENSMUSG00000031520,22341,protein_coding,8,54530641,54640131
